Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1096;14018;"Human Movement Science";journal;"01679457, 18727646";0,628;Q2;104;96;312;4298;700;310;1,92;44,77;35,52;0;10;Netherlands;Western Europe;"Elsevier B.V.";"1982-2023";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Orthopedics and Sports Medicine (Q2); Experimental and Cognitive Psychology (Q3); Sports Science (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Psychology"
1097;19038;"Microcirculation";journal;"10739688, 15498719";0,628;Q3;93;37;156;2152;339;154;2,15;58,16;42,70;0;9;United States;Northern America;"Wiley-Blackwell";"1981-1982, 1994-2023";"Cardiology and Cardiovascular Medicine (Q2); Molecular Biology (Q3); Physiology (Q3); Physiology (medical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1098;13308;"Nutrition and Cancer";journal;"01635581, 15327914";0,627;Q3;130;141;787;7553;2249;777;2,47;53,57;49,07;0;133;United States;Northern America;"Routledge";"1978-2023";"Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
1099;21100793213;"Current Pharmacology Reports";journal;"2198641X";0,624;Q2;35;40;95;4209;411;92;3,69;105,23;45,93;0;29;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2023";"Biochemistry (Q2); Drug Discovery (Q2); Pharmacology (Q2); Genetics (Q3)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
1100;16083;"Journal of Chemical Technology and Biotechnology";journal;"02682575, 10974660";0,624;Q2;137;284;988;15178;3512;971;3,29;53,44;41,47;0;161;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1979-1981, 1983-2023";"Inorganic Chemistry (Q1); Biotechnology (Q2); Chemical Engineering (miscellaneous) (Q2); Fuel Technology (Q2); Organic Chemistry (Q2); Pollution (Q2); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Energy; Environmental Science"
1101;21100239256;"PeerJ";journal;"21678359";0,623;Q2;110;2070;6300;122991;17062;6300;2,44;59,42;41,49;1;900;United States;Northern America;"PeerJ Inc.";"2013-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1102;34645;"Skin Pharmacology and Physiology";journal;"16605527, 16605535";0,623;Q3;86;20;106;1053;277;105;2,89;52,65;47,06;0;3;Switzerland;Western Europe;"S. Karger AG";"1988-1997, 2004-2023";"Dermatology (Q2); Medicine (miscellaneous) (Q2); Pharmacology (Q2); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1103;21100252806;"Bioactive Carbohydrates and Dietary Fibre";journal;"22126198";0,622;Q3;40;46;115;2543;441;114;3,88;55,28;43,84;0;13;United Kingdom;Western Europe;"Elsevier B.V.";"2013-2023";"Food Science (Q2); Organic Chemistry (Q2); Biochemistry (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
1104;24785;"Alcohol";journal;"18736823, 07418329";0,621;Q3;88;70;227;4212;508;223;2,21;60,17;45,31;0;43;United States;Northern America;"Elsevier Inc.";"1984-2023";"Health (social science) (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2); Behavioral Neuroscience (Q3); Biochemistry (Q3); Neurology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
1105;23304;"American Journal of Physiology - Advances in Physiology Education";journal;"10434046, 15221229";0,621;Q3;73;138;335;3459;692;323;1,86;25,07;48,53;0;39;United States;Northern America;"American Physiological Society";"1998-2023";"Education (Q2); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Social Sciences"
1106;19700182124;"Health and Technology";journal;"21907196, 21907188";0,621;Q2;32;79;370;3803;1410;358;4,26;48,14;37,21;2;38;Germany;Western Europe;"Springer Verlag";"2011-2023";"Applied Microbiology and Biotechnology (Q2); Biomedical Engineering (Q2); Biotechnology (Q2); Bioengineering (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
1107;23456;"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology";journal;"14321351, 03407594";0,621;Q3;102;94;187;6578;375;179;1,89;69,98;39,08;0;8;Germany;Western Europe;"Springer Verlag";"1974-2023";"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Behavioral Neuroscience (Q3); Physiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Neuroscience"
1108;19417;"Clinical and Experimental Nephrology";journal;"14377799, 13421751";0,620;Q3;63;131;459;3676;859;412;1,85;28,06;23,05;0;71;Japan;Asiatic Region;"Springer Japan";"1999-2023";"Nephrology (Q2); Physiology (Q3); Physiology (medical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1109;14550;"Differentiation";journal;"14320436, 03014681";0,619;Q3;107;50;96;3894;212;93;2,17;77,88;53,61;0;9;Netherlands;Western Europe;"Elsevier B.V.";"1973-2023";"Cancer Research (Q3); Cell Biology (Q3); Developmental Biology (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology"
1110;16919;"BioMetals";journal;"15728773, 09660844";0,618;Q2;116;100;215;6557;865;213;4,17;65,57;48,20;1;42;Netherlands;Western Europe;"Springer Netherlands";"1992-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Metals and Alloys (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Biomaterials (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Materials Science"
1111;64943;"Plant Breeding Reviews";book series;"07302207";0,618;Q3;20;0;21;0;31;3;1,48;0,00;0,00;0;0;United States;Northern America;"John Wiley & Sons Inc.";"1995, 2011-2015, 2019, 2021-2022";"Agronomy and Crop Science (Q1); Plant Science (Q2); Genetics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
1112;21100241624;"International Journal of Genomics";journal;"2314436X, 23144378";0,617;Q3;37;32;143;1487;387;141;2,62;46,47;43,21;0;25;Egypt;Africa/Middle East;"Hindawi Limited";"2013-2023";"Pharmaceutical Science (Q2); Biochemistry (Q3); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
1113;21100901748;"Behavioral Sciences";journal;"2076328X";0,616;Q3;46;1017;888;65048;2601;881;2,95;63,96;50,92;1;286;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2011-2023";"Development (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2); Behavioral Neuroscience (Q3); Genetics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Neuroscience; Psychology; Social Sciences"
1114;26113;"General and Comparative Endocrinology";journal;"10956840, 00166480";0,616;Q3;133;132;522;8789;1223;510;2,17;66,58;46,44;0;25;United States;Northern America;"Academic Press Inc.";"1961-2024";"Animal Science and Zoology (Q1); Endocrinology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
1115;15300154803;"Anatomical Record";journal;"19328486, 19328494";0,615;Q2;99;310;654;21770;1374;619;1,92;70,23;41,89;0;37;United States;Northern America;"John Wiley & Sons Inc.";"2007-2023";"Anatomy (Q2); Biotechnology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Histology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
1116;25786;"Bioorganic and Medicinal Chemistry";journal;"14643391, 09680896";0,614;Q2;187;247;1204;12412;4009;1198;3,28;50,25;40,76;0;139;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2023";"Clinical Biochemistry (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Pharmaceutical Science (Q2); Biochemistry (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
1117;17615;"Journal of Inorganic Biochemistry";journal;"01620134, 18733344";0,614;Q3;146;255;804;17728;3044;790;3,98;69,52;44,34;0;105;United States;Northern America;"Elsevier Inc.";"1979-2023";"Inorganic Chemistry (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
1118;17100154713;"Prion";journal;"19336896, 1933690X";0,614;Q3;50;17;70;767;156;68;1,72;45,12;48,62;0;7;United States;Northern America;"Landes Bioscience";"2007-2023";"Infectious Diseases (Q2); Biochemistry (Q3); Cell Biology (Q3); Cellular and Molecular Neuroscience (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1119;21101118501;"Biomaterials and Biosystems";journal;"26665344";0,612;Q2;8;11;51;804;156;51;3,06;73,09;43,55;0;3;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2023";"Biomedical Engineering (Q2); Biotechnology (Q2); Biochemistry (Q3); Biomaterials (Q3)";"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
1120;17461;"European Journal of Histochemistry";journal;"1121760X, 20388306";0,612;Q2;49;50;165;1757;327;162;2,17;35,14;42,13;0;22;Italy;Western Europe;"Page Press Publications";"1992-2023";"Biophysics (Q2); Histology (Q2); Medicine (miscellaneous) (Q2); Cell Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1121;19700174944;"Islets";journal;"19382022, 19382014";0,612;Q3;43;14;41;697;81;41;2,11;49,79;36,67;0;10;United States;Northern America;"Landes Bioscience";"2009-2023";"Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1122;29927;"Japanese Journal of Clinical Oncology";journal;"03682811, 14653621";0,612;Q3;95;168;661;3943;1233;600;1,57;23,47;21,90;0;145;United Kingdom;Western Europe;"Oxford University Press";"1971-2023";"Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1123;15462;"Biotechnology and Applied Biochemistry";journal;"14708744, 08854513";0,610;Q2;81;185;488;10036;1787;482;3,72;54,25;38,95;0;72;United States;Northern America;"Wiley-Blackwell";"1986-2023";"Applied Microbiology and Biotechnology (Q2); Biomedical Engineering (Q2); Biotechnology (Q2); Drug Discovery (Q2); Medicine (miscellaneous) (Q2); Process Chemistry and Technology (Q2); Bioengineering (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1124;13845;"Bulletin of Mathematical Biology";journal;"00928240, 15229602";0,610;Q2;97;122;406;6141;892;403;2,14;50,34;32,31;0;58;United States;Northern America;"Springer New York";"1973-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2); Pharmacology (Q2); Immunology (Q3); Neuroscience (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Environmental Science; Immunology and Microbiology; Mathematics; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
1125;23382;"Clinical and Experimental Pharmacology and Physiology";journal;"14401681, 03051870";0,610;Q3;115;93;501;4340;1255;488;2,42;46,67;46,95;0;42;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974-2023";"Pharmacology (Q2); Physiology (Q3); Physiology (medical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1126;21703;"Annals of Human Genetics";journal;"00034800, 14691809";0,609;Q3;79;36;118;1387;206;113;1,23;38,53;52,07;0;6;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1954-2023";"Genetics (Q3); Genetics (clinical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1127;21100416147;"Reproductive Biomedicine and Society Online";journal;"24056618";0,609;Q3;22;0;66;0;171;60;2,45;0,00;0,00;0;0;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2022";"Cultural Studies (Q1); Health (social science) (Q2); Reproductive Medicine (Q2); Developmental Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Social Sciences"
1128;13158;"Technology in Cancer Research and Treatment";journal;"15330338, 15330346";0,609;Q3;72;230;815;11793;2100;809;2,51;51,27;44,59;0;198;United States;Northern America;"SAGE Publications Inc.";"2002-2023";"Medicine (miscellaneous) (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1129;17905;"Yeast";journal;"10970061, 0749503X";0,608;Q2;111;53;148;3300;371;143;2,06;62,26;47,46;1;8;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1985-2023";"Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Bioengineering (Q3); Genetics (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology; Medicine"
1130;28794;"Cancer Biotherapy and Radiopharmaceuticals";journal;"10849785, 15578852";0,607;Q3;68;91;285;3180;871;281;2,79;34,95;41,63;1;72;United States;Northern America;"Mary Ann Liebert Inc.";"1996-2023";"Medicine (miscellaneous) (Q2); Pharmacology (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1131;26388;"Organic and Biomolecular Chemistry";journal;"14770520, 14770539";0,607;Q3;184;1052;3163;57711;9326;3156;2,88;54,86;34,10;0;85;United Kingdom;Western Europe;"Royal Society of Chemistry";"2003-2023";"Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
1132;18964;"Molecular Genetics and Genomics";journal;"16174615, 16174623";0,606;Q3;134;119;347;6235;883;347;2,48;52,39;43,85;0;44;Germany;Western Europe;"Springer Verlag";"1994, 1996-2023";"Medicine (miscellaneous) (Q2); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1133;18386;"Acta Histochemica et Cytochemica";journal;"13475800, 00445991";0,605;Q3;31;18;61;617;126;61;1,56;34,28;32,93;0;5;Japan;Asiatic Region;"Japan Society of Histochemistry and Cytochemistry";"1968-2023";"Histology (Q2); Pathology and Forensic Medicine (Q2); Biochemistry (Q3); Cell Biology (Q3); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1134;3900148224;"Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics";journal;"1744117X, 18780407";0,605;Q3;49;92;281;6217;774;276;2,40;67,58;39,82;0;32;United States;Northern America;"Elsevier Inc.";"2006-2023";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q3); Genetics (Q3); Molecular Biology (Q3); Physiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
1135;21100946920;"Aging Medicine";journal;"24750360";0,604;Q3;16;47;119;2042;262;102;2,10;43,45;48,78;0;19;United States;Northern America;"John Wiley and Sons Inc.";"2018-2023";"Aging (Q3); Geriatrics and Gerontology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1136;29158;"Cancer Investigation";journal;"07357907, 15324192";0,604;Q3;93;83;247;3668;452;229;1,77;44,19;39,25;0;68;United States;Northern America;"Informa Healthcare";"1983-2023";"Medicine (miscellaneous) (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1137;19700188446;"International Journal of Endocrinology";journal;"16878337, 16878345";0,604;Q3;79;67;504;2759;1291;504;2,30;41,18;46,71;0;30;United States;Northern America;"Hindawi Publishing Corporation";"2009-2023";"Endocrine and Autonomic Systems (Q3); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1138;21101168868;"Asian Journal of Mycology";journal;"26511339";0,603;Q2;11;20;59;1197;92;59;0,88;59,85;44,62;0;3;Thailand;Asiatic Region;"MRF";"2019-2023";"Forestry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
1139;21101044940;"Minerva Endocrinology";journal;"27246116, 27246507";0,603;Q3;40;58;170;2368;370;119;2,25;40,83;50,60;0;36;Italy;Western Europe;"Edizioni Minerva Medica S.p.A.";"2021-2023";"Internal Medicine (Q2); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1140;21101034440;"Biosafety and Health";journal;"25900536";0,602;Q2;20;49;148;2201;524;134;3,40;44,92;46,28;2;33;Netherlands;Western Europe;"Elsevier B.V.";"2019-2023";"Biotechnology (Q2); Infectious Diseases (Q2); Microbiology (medical) (Q2); Public Health, Environmental and Occupational Health (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1141;21101042930;"Journal of Pancreatology";journal;"25773577, 20965664";0,602;Q3;12;32;74;1992;85;71;0,88;62,25;38,73;0;20;United States;Northern America;"Wolters Kluwer Health";"2018-2023";"Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3); Hepatology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1142;17513;"Glycoconjugate Journal";journal;"02820080, 15734986";0,601;Q3;96;54;190;3092;599;185;3,09;57,26;40,89;0;24;Netherlands;Western Europe;"Springer Netherlands";"1984-2023";"Biochemistry (Q3); Cell Biology (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology"
1143;17755;"Domestic Animal Endocrinology";journal;"18790054, 07397240";0,600;Q3;82;26;248;1230;526;244;2,01;47,31;37,96;0;0;United States;Northern America;"Elsevier Inc.";"1984-2024";"Animal Science and Zoology (Q1); Food Animals (Q2); Endocrinology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Veterinary"
1144;17596;"Journal of Biomolecular Structure and Dynamics";journal;"07391102, 15380254";0,600;Q3;87;2104;2074;126178;8912;1978;4,47;59,97;36,08;0;1210;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981, 1983-2023";"Medicine (miscellaneous) (Q2); Molecular Biology (Q3); Structural Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1145;21282;"Journal of Interferon and Cytokine Research";journal;"15577465, 10799907";0,600;Q3;105;63;205;2945;360;173;1,45;46,75;39,65;0;30;United States;Northern America;"Mary Ann Liebert Inc.";"1995-2023";"Medicine (miscellaneous) (Q2); Cell Biology (Q3); Immunology (Q3); Virology (Q3)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
1146;21336;"NeuroImmunoModulation";journal;"14230216, 10217401";0,600;Q3;74;31;114;2232;268;110;2,38;72,00;45,88;0;8;Switzerland;Western Europe;"S. Karger AG";"1994-2002, 2004-2023";"Endocrine and Autonomic Systems (Q3); Endocrinology (Q3); Immunology (Q3); Neurology (Q3)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
1147;23318;"Physiological and Biochemical Zoology";journal;"15222152, 15375293";0,600;Q3;96;41;114;2742;216;114;1,86;66,88;44,25;0;4;United States;Northern America;"University of Chicago";"1999-2023";"Animal Science and Zoology (Q1); Biochemistry (Q3); Physiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
1148;16792;"Annals of Clinical Biochemistry";journal;"17581001, 00045632";0,598;Q2;90;91;237;1975;470;185;1,88;21,70;38,93;0;19;United Kingdom;Western Europe;"SAGE Publications Ltd";"1961-1970, 1973-2023";"Clinical Biochemistry (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1149;21100891048;"Epigenetics Insights";journal;"25168657";0,597;Q3;12;8;39;622;101;37;2,90;77,75;40,38;0;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"2018-2023";"Biochemistry (Q3); Genetics (Q3)";"Biochemistry, Genetics and Molecular Biology"
1150;12100154903;"Food Science and Biotechnology";journal;"20926456, 12267708";0,597;Q2;60;224;492;10909;1648;490;3,12;48,70;48,27;0;36;South Korea;Asiatic Region;"Springer Netherlands";"2007-2023";"Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
1151;24797;"Mini-Reviews in Medicinal Chemistry";journal;"18755607, 13895575";0,597;Q3;107;128;492;14236;1903;484;3,60;111,22;43,35;0;88;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2001-2023";"Drug Discovery (Q2); Medicine (miscellaneous) (Q2); Pharmacology (Q2); Cancer Research (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1152;21100967310;"Translational Medicine of Aging";journal;"24685011";0,597;Q3;13;17;36;1231;79;32;1,36;72,41;43,90;0;1;China;Asiatic Region;"KeAi Communications Co.";"2017-2023";"Aging (Q3); Cell Biology (Q3); Geriatrics and Gerontology (Q3); Neurology (clinical) (Q3); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1153;18447;"Cell Biochemistry and Biophysics";journal;"15590283, 10859195";0,596;Q2;91;68;200;4402;493;196;2,13;64,74;44,79;0;30;United States;Northern America;"Humana Press";"1979, 1990, 1992, 1995-2023";"Biophysics (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Cell Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1154;16070;"Journal of Biomaterials Science, Polymer Edition";journal;"15685624, 09205063";0,595;Q2;107;128;375;7846;1529;375;4,17;61,30;43,93;0;32;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2023";"Biomedical Engineering (Q2); Biophysics (Q2); Bioengineering (Q3); Biomaterials (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
1155;36360;"Animal Reproduction Science";journal;"03784320, 18732232";0,593;Q3;121;103;508;5805;1157;503;2,07;56,36;43,32;0;19;Netherlands;Western Europe;"Elsevier B.V.";"1936, 1978-2023";"Animal Science and Zoology (Q1); Food Animals (Q2); Medicine (miscellaneous) (Q2); Endocrinology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Veterinary"
1156;19900193647;"Genes and Environment";journal;"18807046, 18807062";0,593;Q3;22;38;111;1826;292;108;2,67;48,05;30,50;0;22;United Kingdom;Western Europe;"BioMed Central Ltd";"2006-2007, 2009-2023";"Environmental Science (miscellaneous) (Q2); Social Psychology (Q2); Genetics (Q3)";"Biochemistry, Genetics and Molecular Biology; Environmental Science; Psychology"
1157;28525;"Journal of Magnetic Resonance";journal;"10960856, 10907807";0,593;Q2;143;161;433;7475;951;428;2,12;46,43;21,85;0;12;United States;Northern America;"Academic Press Inc.";"1997-2023";"Biophysics (Q2); Condensed Matter Physics (Q2); Nuclear and High Energy Physics (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
1158;21100238622;"Biomolecular Concepts";journal;"1868503X, 18685021";0,592;Q2;44;10;70;538;219;70;2,84;53,80;49,06;0;4;Germany;Western Europe;"Walter de Gruyter GmbH";"2010-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Cellular and Molecular Neuroscience (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1159;21101038704;"BMC Genomic Data";journal;"27306844";0,592;Q3;91;79;287;3697;725;284;2,09;46,80;40,07;0;22;United Kingdom;Western Europe;"BioMed Central Ltd";"2021-2023";"Genetics (Q3); Health Informatics (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1160;22211;"Genome";journal;"14803321, 08312796";0,591;Q2;108;30;201;1547;469;187;2,53;51,57;40,00;0;9;Canada;Northern America;"National Research Council of Canada";"1987-2023";"Biotechnology (Q2); Medicine (miscellaneous) (Q2); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1161;26117;"Gynecological Endocrinology";journal;"09513590, 14730766";0,590;Q3;74;114;681;3943;1511;653;2,08;34,59;54,56;0;41;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2023";"Obstetrics and Gynecology (Q2); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1162;19623;"Archives of Microbiology";journal;"1432072X, 03028933";0,589;Q3;116;381;1587;24628;4641;1585;2,68;64,64;43,04;0;144;Germany;Western Europe;"Springer Verlag";"1974-2023";"Medicine (miscellaneous) (Q2); Biochemistry (Q3); Genetics (Q3); Microbiology (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
1163;5000154502;"International Journal of Medical Robotics and Computer Assisted Surgery";journal;"1478596X, 14785951";0,589;Q2;64;99;398;3348;1197;398;2,77;33,82;27,03;0;21;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2004-2023";"Biophysics (Q2); Computer Science Applications (Q2); Surgery (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
1164;12179;"Journal of Luminescence";journal;"00222313";0,589;Q2;131;643;2305;29412;8261;2296;3,47;45,74;35,81;0;36;Netherlands;Western Europe;"Elsevier B.V.";"1970-2024";"Atomic and Molecular Physics, and Optics (Q2); Biophysics (Q2); Chemistry (miscellaneous) (Q2); Condensed Matter Physics (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
1165;27111;"Andrologia";journal;"03034569, 14390272";0,588;Q3;74;41;1149;1933;2849;1117;2,56;47,15;37,65;0;13;United Kingdom;Western Europe;"";"1969-2023";"Medicine (miscellaneous) (Q2); Urology (Q2); Endocrinology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1166;21101136668;"European Journal of Medicinal Chemistry Reports";journal;"27724174";0,588;Q3;11;22;86;1972;367;86;4,27;89,64;28,81;0;11;France;Western Europe;"Elsevier Masson s.r.l.";"2021-2023";"Chemistry (miscellaneous) (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
1167;12498;"Neoplasma";journal;"13384317, 00282685";0,588;Q3;57;67;448;51;1037;448;2,01;0,76;43,23;0;64;Slovakia;Eastern Europe;"Vydavatel'stvo Slovenkej Akademie Vied/Veda Publishing House of the Slovak Academy of Sciences";"1957-2023";"Medicine (miscellaneous) (Q2); Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
