Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
40;120008;"Annual Review of Physiology";journal;"00664278, 15451585";6,870;Q1;237;21;74;3209;1506;74;15,98;152,81;35,19;0;9;United States;Northern America;"Annual Reviews Inc.";"1946-2023";"Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
41;21100788876;"Chem";journal;"24519308, 24519294";6,556;Q1;144;281;798;14147;12069;634;12,19;50,35;29,08;0;159;United States;Northern America;"Elsevier Inc.";"2016-2023";"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine"
42;18395;"Annual Review of Cell and Developmental Biology";journal;"15308995, 10810706";6,456;Q1;240;18;66;2682;792;63;11,12;149,00;43,18;0;2;United States;Northern America;"Annual Reviews Inc.";"1995-2022";"Cell Biology (Q1); Developmental Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
43;12499;"Neuro-Oncology";journal;"15228517, 15235866";6,348;Q1;163;229;779;6987;7925;489;11,64;30,51;45,08;3;74;United Kingdom;Western Europe;"Oxford University Press";"1999-2023";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
44;19136;"Annals of the Rheumatic Diseases";journal;"00034967, 14682060";6,138;Q1;288;413;1445;10750;11076;597;7,71;26,03;42,89;12;104;United Kingdom;Western Europe;"BMJ Publishing Group";"1945-1948, 1950-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
45;21191;"Pharmacological Reviews";journal;"15210081, 00316997";6,050;Q1;254;35;102;13259;2111;100;19,42;378,83;33,99;0;12;United States;Northern America;"American Society for Pharmacology and Experimental Therapeutics";"1949, 1951-2023";"Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
46;19066;"Trends in Cell Biology";journal;"09628924, 18793088";6,002;Q1;263;133;292;10327;3983;283;9,32;77,65;35,28;1;52;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2023";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
47;17600155011;"Molecular Plant";journal;"16742052, 17529867";5,967;Q1;162;181;553;10789;9110;442;10,41;59,61;38,52;0;34;United States;Northern America;"Elsevier";"2008-2023";"Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
48;18525;"Developmental Cell";journal;"15345807, 18781551";5,828;Q1;295;216;817;15915;6887;673;8,08;73,68;44,39;0;40;United States;Northern America;"Cell Press";"2001-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cell Biology (Q1); Developmental Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
49;21101083188;"Nature Aging";journal;"26628465";5,705;Q1;30;199;282;7723;2481;174;8,80;38,81;43,10;5;23;Germany;Western Europe;"Springer";"2021-2023";"Aging (Q1); Geriatrics and Gerontology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
50;12000154482;"Annual Review of Biophysics";journal;"19361238, 1936122X";5,561;Q1;172;26;63;3721;800;63;10,94;143,12;30,77;0;2;United States;Northern America;"Annual Reviews Inc.";"2008-2023";"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
51;4000148205;"Nature Chemical Biology";journal;"15524469, 15524450";5,558;Q1;259;283;720;8927;6104;525;7,58;31,54;34,03;2;43;United Kingdom;Western Europe;"Nature Publishing Group";"2005-2023";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
