Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
131;21100902543;"Science and Technology Asia";journal;"25869027, 25869000";0,151;Q4;7;90;232;2576;106;232;0,41;28,62;44,25;0;35;Thailand;Asiatic Region;"Thammasat University";"2018-2023";"Agricultural and Biological Sciences (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Multidisciplinary (Q4)";"Agricultural and Biological Sciences; Mathematics; Multidisciplinary"
132;26195;"Wuhan University Journal of Natural Sciences";journal;"10071202, 19934998";0,149;Q4;22;62;194;1374;64;194;0,43;22,16;37,36;0;7;France;Western Europe;"EDP Sciences";"1996, 1998-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
133;21101021222;"Journal of Current Science and Technology";journal;"26300656, 26300583";0,146;Q4;4;59;111;2381;67;108;0,53;40,36;47,22;0;20;Thailand;Asiatic Region;"Rangsit University";"2018-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
134;19500157417;"Proceedings of the Latvian Academy of Sciences, Section B: Natural, Exact, and Applied Sciences";journal;"2255890X, 1407009X";0,146;Q4;16;38;244;1085;96;244;0,35;28,55;68,79;0;14;Poland;Eastern Europe;"Sciendo";"2008-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
135;16100154769;"Arabic Sciences and Philosophy";journal;"09574239, 14740524";0,145;Q4;21;10;23;394;13;23;0,41;39,40;44,44;0;0;United Kingdom;Western Europe;"Cambridge University Press";"1991-2023";"History (Q2); History and Philosophy of Science (Q3); Philosophy (Q3); Multidisciplinary (Q4)";"Arts and Humanities; Multidisciplinary"
136;17600155045;"Staps";journal;"17821568, 0247106X";0,140;-;11;0;83;0;24;79;0,17;0,00;0,00;0;0;Belgium;Western Europe;"Boeck Universite";"2001-2022";"Orthopedics and Sports Medicine (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Social Sciences (miscellaneous) (Q4)";"Health Professions; Medicine; Social Sciences"
137;22728;"Zhongshan Daxue Xuebao/Acta Scientiarum Natralium Universitatis Sunyatseni";journal;"20970137";0,139;Q4;15;94;326;2901;177;326;0,63;30,86;39,94;0;21;China;Asiatic Region;"Journal of Zhongshan University";"1980, 2001-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
138;21100934560;"Science, Engineering and Health Studies";journal;"26300087";0,137;Q4;6;6;137;176;56;134;0,38;29,33;62,50;0;2;Thailand;Asiatic Region;"Silpakorn University";"2018-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
139;21101122884;"Open Research Africa";journal;"27526925";0,135;Q4;2;4;8;184;8;8;1,00;46,00;55,56;0;4;United Kingdom;Western Europe;"";"2022-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
140;21100903715;"Annals of Clinical and Experimental Neurology";journal;"24092533, 20755473";0,134;Q4;5;44;134;1528;49;134;0,35;34,73;56,67;0;15;Russian Federation;Eastern Europe;"Research Center of Neurology";"2019-2023";"Cellular and Molecular Neuroscience (Q4); Cognitive Neuroscience (Q4); Multidisciplinary (Q4); Neurology (Q4); Neurology (clinical) (Q4)";"Medicine; Multidisciplinary; Neuroscience"
